date,trade_date,usd,gbp,eur,jpy
2010-01-01,01-Jan-2010,46.65,,,
2010-01-04,04-Jan-2010,46.51,,,
2010-01-05,05-Jan-2010,46.2,,,
2010-01-06,06-Jan-2010,46.12,,,
2010-01-07,07-Jan-2010,45.87,,,
2010-01-08,08-Jan-2010,45.8,,,
2010-01-11,11-Jan-2010,45.36,,,
2010-01-12,12-Jan-2010,45.4,,,
2010-01-13,13-Jan-2010,45.68,,,
2010-01-14,14-Jan-2010,45.48,,,
2010-01-15,15-Jan-2010,45.67,,,
2010-01-18,18-Jan-2010,45.66,,,
2010-01-19,19-Jan-2010,45.62,,,
2010-01-20,20-Jan-2010,45.95,,,
2010-01-21,21-Jan-2010,45.97,,,
2010-01-22,22-Jan-2010,46.17,,,
2010-01-25,25-Jan-2010,46.18,,,
2010-01-27,27-Jan-2010,46.29,,,
2010-01-28,28-Jan-2010,46.31,,,
2010-01-29,29-Jan-2010,46.37,74.7832,64.63,51.59
2010-02-01,01-Feb-2010,46.34,73.9077,64.32,51.37
2010-02-02,02-Feb-2010,46.25,73.7757,64.39,50.96
2010-02-03,03-Feb-2010,46.04,73.7906,64.33,50.88
2010-02-04,04-Feb-2010,46.09,73.2209,63.96,50.65
2010-02-05,05-Feb-2010,46.56,73.2086,63.85,51.89
2010-02-08,08-Feb-2010,46.81,72.9019,63.8,52.39
2010-02-09,09-Feb-2010,46.68,72.9398,63.94,52.2
2010-02-10,10-Feb-2010,46.56,72.9875,64.07,51.94
2010-02-11,11-Feb-2010,46.46,72.6541,64.02,51.66
2010-02-15,15-Feb-2010,46.38,72.5708,63.0,51.46
2010-02-16,16-Feb-2010,46.18,72.4841,62.98,51.41
2010-02-17,17-Feb-2010,46.02,72.6012,63.36,50.94
2010-02-18,18-Feb-2010,46.22,72.3643,62.76,50.86
2010-02-19,19-Feb-2010,46.47,71.5034,62.56,50.55
2010-02-22,22-Feb-2010,46.16,71.4211,62.92,50.34
2010-02-23,23-Feb-2010,46.13,71.5891,62.84,50.63
2010-02-24,24-Feb-2010,46.25,71.4724,62.63,51.27
2010-02-25,25-Feb-2010,46.36,71.0467,62.42,51.82
2010-02-26,26-Feb-2010,46.23,70.6579,62.81,51.73
2010-03-02,02-Mar-2010,46.02,68.7217,62.31,51.51
2010-03-03,03-Mar-2010,45.9,68.9418,62.58,51.65
2010-03-04,04-Mar-2010,45.82,68.9866,62.61,51.9
2010-03-05,05-Mar-2010,45.78,68.8348,62.15,51.25
